City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sao felix do xingu,-6.6447,-51.995,21.86,98,100,0.7,BR,1679362959
84,cape town,-33.9258,18.4232,18.27,88,75,8.23,ZA,1679362943
85,qaanaaq,77.484,-69.3632,-17.98,63,0,4.0,GL,1679362944
86,longyearbyen,78.2186,15.6401,-20.09,54,20,5.14,SJ,1679362921
87,east london,-33.0153,27.9116,22.07,80,100,3.65,ZA,1679362944
88,lavrentiya,65.5833,-171.0,-0.52,97,100,13.42,RU,1679362945
89,atbasar,51.8,68.3333,-22.41,100,26,1.86,KZ,1679362962
90,bambous virieux,-20.3428,57.7575,24.01,94,20,1.54,MU,1679362947
91,altay,47.8667,88.1167,-10.94,68,8,1.12,CN,1679362963
92,hay river,60.8156,-115.7999,-12.01,72,20,6.17,CA,1679362964
93,ilulissat,69.2167,-51.1,-9.99,62,47,2.06,GL,1679362943
94,timberlake,37.3207,-79.2575,3.68,50,0,0.0,US,1679362965
95,hermanus,-34.4187,19.2345,18.78,77,34,6.75,ZA,1679362943
96,xichang,27.8964,102.2634,17.01,53,99,2.16,CN,1679362802
97,saint-philippe,-21.3585,55.7679,23.77,86,100,2.52,RE,1679362945
98,hovd,48.0056,91.6419,-13.72,43,11,1.92,MN,1679362967
99,tamandare,-8.7597,-35.1047,25.57,80,100,0.85,BR,1679362967
100,kirakira,-10.4544,161.9205,28.73,80,80,3.59,SB,1679362946
101,mahebourg,-20.4081,57.7,24.03,94,20,1.54,MU,1679362834
102,nouadhibou,20.931,-17.0347,16.99,88,0,6.69,MR,1679362948
103,husavik,66.0449,-17.3389,-11.16,85,100,4.87,IS,1679362946
104,miles city,46.4083,-105.8406,-1.46,86,0,7.72,US,1679362946
105,krasnovishersk,60.4078,57.082,-1.04,96,100,3.02,RU,1679362970
106,san pedro,14.35,121.0167,29.64,64,20,4.12,PH,1679362970
107,boda,4.3189,17.4695,22.33,71,99,1.12,CF,1679362971
108,albany,42.6001,-73.9662,1.89,51,98,1.75,US,1679362872
109,santa isabel,-23.3156,-46.2214,21.42,93,5,0.81,BR,1679362972
110,krasnyy profintern,57.7446,40.435,3.01,92,100,3.13,RU,1679362973
111,ribeira grande,38.5167,-28.7,15.99,95,98,4.92,PT,1679362944
112,geraldton,-28.7667,114.6,25.23,69,42,3.09,AU,1679362807
113,shingu,33.7333,135.9833,16.1,74,100,1.75,JP,1679362947
114,uruguaiana,-29.7547,-57.0883,25.96,83,0,2.06,BR,1679362974
115,dikson,73.5069,80.5464,-15.53,96,100,4.25,RU,1679362944
116,craig,40.5153,-107.5464,1.97,80,40,2.57,US,1679362975
117,bani walid,31.7566,13.9942,18.64,36,100,2.34,LY,1679362976
118,san carlos de bariloche,-41.1456,-71.3082,14.69,36,0,3.09,AR,1679362977
119,ostrovnoy,68.0531,39.5131,-5.78,88,66,13.77,RU,1679362944
120,avarua,-21.2078,-159.775,29.03,79,20,4.63,CK,1679362944
121,tucuman,-26.8241,-65.2226,28.0,61,100,3.09,AR,1679362979
122,dingle,10.9995,122.6711,28.07,64,49,3.98,PH,1679362948
123,taoudenni,22.6783,-3.9836,21.9,27,0,4.49,ML,1679362945
124,cherskiy,68.75,161.3,-23.39,86,100,7.19,RU,1679362943
125,punta arenas,-53.15,-70.9167,10.06,76,40,11.83,CL,1679362522
126,pevek,69.7008,170.3133,-23.66,82,100,7.62,RU,1679362981
127,tautira,-17.7333,-149.15,27.62,77,86,5.66,PF,1679362982
128,el viejo,12.6633,-87.1672,28.4,62,84,0.91,NI,1679362982
129,la ronge,55.1001,-105.2842,-6.86,53,75,3.6,CA,1679362946
